食品番号,索引番号,食品名,廃棄率(%),エネルギー(kcal),水分(g),たんぱく質(g),脂質(g),炭水化物(g),食物繊維総量(g),ナトリウム(mg),カリウム(mg),カルシウム(mg),マグネシウム(mg),リン(mg),鉄(mg),亜鉛(mg),銅(mg),マンガン(mg),ヨウ素(μg),セレン(μg),クロム(μg),モリブデン(μg),レチノール(μg),αーカロテン(μg),βーカロテン(μg),βークリプトキサンチン(μg),βーカロテン当量(μg),レチノール活性当量(μg),ビタミンD(μg),αートコフェロール(mg),βートコフェロール(mg),γートコフェロール(mg),δートコフェロール(mg),ビタミンK(μg),ビタミンB1(mg),ビタミンB2(mg),ナイアシン当量(mg),ビタミンB6(mg),ビタミンB12(μg),葉酸(μg),パントテン酸(mg),ビオチン(μg),ビタミンC(mg),食塩相当量g,備考
1001,1,アマランサス　玄穀,0,343,13.5,12.7,6.0,64.9,7.4,1.0,600.0,160.0,270.0,540.0,9.4,5.8,0.92,6.14,1.0,13.0,7.0,59.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.3,2.3,0.2,0.7,0.0,0.04,0.14,3.8,0.58,0.0,130.0,1.69,16.0,0.0,0.0,
1002,2,あわ　精白粒,0,346,13.3,11.2,4.4,69.7,3.3,1.0,300.0,14.0,110.0,280.0,4.8,2.5,0.49,0.88,0.0,2.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.2,0.0,0.0,0.56,0.07,6.4,0.18,0.0,29.0,1.83,14.0,0.0,0.0,"うるち、もちを含む
歩留り： 70～80 %"
1003,3,あわ　あわもち,0,210,48.0,5.1,1.3,45.3,1.5,0.0,62.0,5.0,12.0,39.0,0.7,1.1,0.2,0.46,0.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.2,0.0,0.0,0.08,0.01,1.7,0.03,0.0,7.0,0.61,3.4,0.0,0.0,原材料配合割合： もちあわ50、もち米50
1004,4,えんばく　オートミール,0,350,10.0,13.7,5.7,69.1,9.4,3.0,260.0,47.0,100.0,370.0,3.9,2.1,0.28,0.0,0.0,18.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0.0,0.0,0.2,0.08,4.5,0.11,0.0,30.0,1.29,22.0,0.0,0.0,別名： オート、オーツ
1005,5,おおむぎ　七分つき押麦,0,343,14.0,10.9,2.1,72.1,10.3,2.0,220.0,23.0,46.0,180.0,1.3,1.4,0.32,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.22,0.07,5.8,0.14,0.0,17.0,0.43,0.0,0.0,0.0,歩留り： 玄皮麦60～65 %、玄裸麦65～70 %
1006,6,おおむぎ　押麦　乾,0,329,12.7,6.7,1.5,78.3,12.2,2.0,210.0,21.0,40.0,160.0,1.1,1.1,0.22,0.86,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.11,0.03,5.0,0.13,0.0,10.0,0.4,2.7,0.0,0.0,"歩留り： 玄皮麦45～55 %、玄裸麦55～65 %
食物繊維：AOAC2011.25法"
1170,7,おおむぎ　押麦　めし,0,118,68.6,2.2,0.5,28.5,4.2,0.0,38.0,6.0,10.0,46.0,0.4,0.4,0.08,0.24,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.3,0.03,0.0,3.0,0.13,0.8,0.0,0.0,"乾35 g相当量を含む
食物繊維：AOAC2011.25法"
1007,8,おおむぎ　米粒麦,0,333,14.0,7.0,2.1,76.2,8.7,2.0,170.0,17.0,25.0,140.0,1.2,1.2,0.37,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.19,0.05,4.0,0.19,0.0,10.0,0.64,3.5,0.0,0.0,"別名： 切断麦
白麦を含む
歩留り： 玄皮麦40～50 %、玄裸麦50～60 %"
1008,9,おおむぎ　大麦めん　乾,0,343,14.0,12.9,1.7,68.0,6.3,1100.0,240.0,27.0,63.0,200.0,2.1,1.5,0.33,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.04,6.3,0.09,0.0,19.0,0.64,0.0,0.0,2.8,原材料配合割合： 大麦粉 50、小麦粉 50
1009,10,おおむぎ　大麦めん　ゆで,0,121,70.0,4.8,0.6,24.3,2.5,64.0,10.0,12.0,18.0,61.0,0.9,0.6,0.13,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,2.0,0.01,0.0,5.0,0.26,0.0,0.0,0.2,原材料配合割合： 大麦粉 50、小麦粉 50
